"kingdom";"phylum";"class";"order";"family";"genus";"species";"speciesStatus";"allBarcodes";"ariseBarcodes";"otherBarcodes";"speciesOccurrenceStatus";"collected";"speciesLocality"
"Animalia";"Mollusca";"Gastropoda";"Caenogastropoda incertae sedis";"Epitoniidae";"Epitonium";"Epitonium trevelyanum";"Wanted";"3";"0";"3";"1a";"0";"Atlantic Ocean; Norway; Sweden"
"Animalia";"Mollusca";"Gastropoda";"Caenogastropoda incertae sedis";"Epitoniidae";"Epitonium";"Epitonium turtonis";"Priority";"0";"0";"0";"1a";"0";""
"Animalia";"Mollusca";"Gastropoda";"Caenogastropoda incertae sedis";"Epitoniidae";"Epitonium";"Epitonium clathrus";"Unwanted";"7";"5";"2";"1a";"1";"Atlantic Ocean; Netherlands; United Kingdom"
"Animalia";"Mollusca";"Gastropoda";"Caenogastropoda incertae sedis";"Epitoniidae";"Epitonium";"Epitonium clathratulum";"Unwanted";"0";"0";"0";"1a";"7";""
"Animalia";"Mollusca";"Gastropoda";"Caenogastropoda incertae sedis";"Cerithiidae";"Bittium";"Bittium reticulatum";"Wanted";"8";"0";"8";"1b";"0";"Bulgaria; Croatia; Norway; United Kingdom"
"Animalia";"Mollusca";"Gastropoda";"Caenogastropoda incertae sedis";"Cerithiopsidae";"Cerithiopsis";"Cerithiopsis tubercularis";"Wanted";"6";"0";"6";"1b";"0";""
"Animalia";"Mollusca";"Gastropoda";"Caenogastropoda incertae sedis";"Triphoridae";"Marshallora";"Marshallora adversa";"Wanted";"2";"0";"2";"1b";"0";"Norway; Sweden"
"Animalia";"Mollusca";"Gastropoda";"Caenogastropoda incertae sedis";"Thiaridae";"Melanoides";"Melanoides tuberculata";"Unwanted";"121";"1";"120";"2b";"0";"Algeria; Australia; Burundi; Democratic Republic of the Congo; Ecuador; India; Iran; Japan; Malawi; Mexico; Morocco; Panama; Rwanda; Singapore; South Africa; Tanzania; Uganda; United State of America; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Eubranchidae";"Capellinia";"Capellinia vittata";"Unwanted";"10";"8";"2";"3a";"1";"Norway; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Eubranchidae";"Amphorina";"Amphorina linensis";"Unwanted";"12";"8";"4";"1a";"13";"Netherlands; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Eubranchidae";"Amphorina";"Amphorina farrani";"Wanted";"28";"0";"28";"1b";"0";"France; Ireland; Mediterranean Sea; Morocco; Norway; Spain; United Kingdom"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Eubranchidae";"Eubranchulus";"Eubranchulus rupium";"Unwanted";"151";"4";"147";"1a";"0";"Canada; Netherlands; Norway; Sweden; United State of America; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Eubranchidae";"Nudibranchus";"Nudibranchus exiguus";"Unwanted";"46";"14";"32";"1a";"1";"Canada; France; Mediterranean Sea; Netherlands; Norway; Slovenia; Spain; Sweden; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Eubranchidae";"Amphorina";"Amphorina pallida";"Unwanted";"27";"10";"17";"1a";"3";"Atlantic Ocean; Norway; United Kingdom; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Eubranchidae";"Eubranchus";"Eubranchus tricolor";"Wanted";"16";"0";"16";"0";"0";"Atlantic Ocean; Canada; Ireland; Norway; Sweden"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Facelinidae";"Favorinus";"Favorinus blianus";"Unwanted";"16";"1";"15";"3a";"0";"Norway; Spain; Sweden; United Kingdom; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Facelinidae";"Facelina";"Facelina auriculata";"Unwanted";"23";"6";"17";"1b";"0";"Norway; Sweden; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Facelinidae";"Facelina";"Facelina bostoniensis";"Unwanted";"29";"4";"25";"1a";"6";"Croatia; Ireland; Netherlands; Norway; Sweden; United Kingdom; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Facelinidae";"Cratena";"Cratena lineata";"Wanted";"2";"0";"2";"3b";"0";"Japan; Oman"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Dotidae";"Doto";"Doto maculata";"Wanted";"8";"0";"8";"1b";"0";"Norway; Spain; Sweden"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Dotidae";"Doto";"Doto sarsiae";"Priority";"0";"0";"0";"1b";"0";""
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Dotidae";"Doto";"Doto pinnatifida";"Wanted";"5";"0";"5";"1a";"0";"United Kingdom; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Dotidae";"Doto";"Doto fragilis";"Wanted";"69";"0";"69";"1b";"0";"Atlantic Ocean; Canada; Ireland; Norway; Sweden; United Kingdom"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Dotidae";"Doto";"Doto coronata";"Unwanted";"110";"38";"72";"1a";"12";"Atlantic Ocean; Canada; Netherlands; Norway; Russia; South Africa; Spain; Sweden; United Kingdom; United State of America; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Dotidae";"Doto";"Doto hydrallmaniae";"Unwanted";"6";"6";"0";"1b";"2";"Netherlands"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Dotidae";"Doto";"Doto millbayana";"Unwanted";"50";"4";"46";"1a";"0";"Netherlands; Norway; Spain; Sweden; United Kingdom"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Aeolidiidae";"Aeolidia";"Aeolidia filomenae";"Unwanted";"16";"5";"11";"1a";"3";"Norway; Sweden; United Kingdom; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Aeolidiidae";"Aeolidia";"Aeolidia papillosa";"Unwanted";"160";"8";"152";"1a";"5";"Atlantic Ocean; Canada; Chile; Denmark; Ireland; Japan; Netherlands; North Pacific Ocean; Norway; Russia; Sweden; United Kingdom; United State of America; Unknown; Unrecoverable; Unspecified country"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Aeolidiidae";"Aeolidiella";"Aeolidiella alderi";"Unwanted";"9";"4";"5";"1a";"2";"Croatia; France; Italy; Netherlands; Spain"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Aeolidiidae";"Aeolidiella";"Aeolidiella glauca";"Unwanted";"34";"16";"18";"0a";"13";"Atlantic Ocean; France; Netherlands; Norway; Sweden; United Kingdom"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Aeolidiidae";"Aeolidiella";"Aeolidiella sanguinea";"Unwanted";"6";"3";"3";"3b";"1";"France; Ireland; Netherlands; Spain"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Trinchesiidae";"Diaphoreolis";"Diaphoreolis viridis";"Wanted";"96";"0";"96";"1a";"0";"Norway; Russia; Sweden; Unrecoverable; Unspecified country"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Trinchesiidae";"Tenellia";"Tenellia adspersa";"Unwanted";"15";"2";"13";"1a";"4";"Canada; Netherlands; Spain; Sweden; United Kingdom; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Tergipedidae";"Tergipes";"Tergipes tergipes";"Unwanted";"43";"8";"35";"1a";"1";"Canada; Italy; Mediterranean Sea; Netherlands; Norway; Russia; Slovenia; United Kingdom; United State of America; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Trinchesiidae";"Rubramoena";"Rubramoena rubescens";"Unwanted";"18";"4";"14";"1a";"1";"Norway; Slovenia; Sweden; United Kingdom; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Trinchesiidae";"Rubramoena";"Rubramoena amoena";"Unwanted";"26";"20";"6";"1a";"8";"Netherlands; Norway; Slovenia; Sweden; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Cuthonellidae";"Fiocuthona";"Fiocuthona concinna";"Unwanted";"25";"8";"17";"1a";"0";"Canada; Germany; North Atlantic Ocean; Norway; Russia; Sweden; United Kingdom; United State of America; Unknown; Unrecoverable; Unspecified country"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Cuthonidae";"Cuthona";"Cuthona nana";"Unwanted";"17";"4";"13";"1a";"2";"Netherlands; Norway; Sweden; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Polyceridae";"Polycera";"Polycera kernowensis";"Wanted";"34";"0";"34";"1a";"0";"Norway; United Kingdom"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Polyceridae";"Polycera";"Polycera faeroensis";"Unwanted";"11";"1";"10";"1a";"0";"Norway; Portugal; United Kingdom; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Polyceridae";"Polycera";"Polycera quadrilineata";"Unwanted";"122";"16";"106";"1b";"13";"Netherlands; Norway; Portugal; Slovenia; Spain; Sweden; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Polyceridae";"Limacia";"Limacia clavigera";"Unwanted";"66";"13";"53";"1b";"8";"Netherlands; Norway; Spain; Sweden; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Polyceridae";"Thecacera";"Thecacera pennigera";"Unwanted";"15";"11";"4";"1b";"6";"Japan; Netherlands; South Africa; Spain; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Polyceridae";"Palio";"Palio nothus";"Unwanted";"8";"3";"5";"1b";"2";"Netherlands; Norway; Spain; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Cumanotidae";"Cumanotus";"Cumanotus beaumonti";"Wanted";"9";"0";"9";"1b";"0";"Norway; Sweden"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Flabellinidae";"Edmundsella";"Edmundsella pedata";"Unwanted";"61";"13";"48";"1b";"5";"Atlantic Ocean; Croatia; France; Italy; Netherlands; Norway; Spain; Sweden; United Kingdom; Unknown; Unrecoverable"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Calycidorididae";"Diaphorodoris";"Diaphorodoris luteocincta";"Unwanted";"37";"5";"32";"1a";"4";"Italy; Norway; Spain; United Kingdom; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Doridida";"Corambidae";"Corambe";"Corambe obscura";"Unwanted";"8";"6";"2";"2";"1";"Netherlands; United State of America; Unknown"
"Animalia";"Mollusca";"Gastropoda";"Nudibranchia";"Coryphellidae";"Coryphella";"Coryphella verrucosa";"Wanted";"225";"0";"225";"1a";"0";"Atlantic Ocean; Canada; Greenland; Norway; Russia; Sweden; Unrecoverable"
